source	x	y	sd	baseline	amplitude	r2
285	1.3489889	4.190666	0.10180304	-0.034988455	0.26273906	
286	2.8422797	2.2268405	1.583791	-0.1117509	0.051300038	0.09411687
287	2.7388062	0.70847285	1.0103174	-0.19161826	0.13485262	0.25722182
288	4.3654184	-0.41704082	2.3463001	-0.4190682	0.13343835	0.37768978
289	5.337506	-1.1412653	2.9514873	-0.5157015	0.15618904	0.44310957
290	3.5446029	-4.3891544	1.1337309	-0.3647956	0.32734355	0.5234183
291	3.2304049	-4.3189387	1.1461943	-0.4049983	0.3505928	0.5376123
292	3.6584036	-5.486829	2.5589888	-0.22965214	0.1528248	0.30540067
293	1.7975184	-5.1753893	0.26131988	-0.104177535	0.90250665	
294	2.8591516	-6.150028	0.9896746	-0.42255118	2.353158	0.53453434
295	4.1009502	1.4358748	2.859442	-0.23109142	0.06604705	0.15955937
296	2.6662557	-0.5928161	2.4779704	-0.7771488	0.22125897	0.6827731
297	2.7541504	-0.6456985	2.1319382	-0.7549702	0.24290636	0.74613297
298	7.0588794	-0.33240798	1.2484523	-0.112120084	0.06959807	0.12329131
299	1.1146996	-4.4699574	0.096879534	-0.0601449	0.51073647	
300	0.46967313	2.4424424	0.105446994	-0.048583366	0.363448	
301	4.30709	0.9512357	0.10399879	-0.06255755	0.38405648	
302	4.5526667	-0.41842332	2.073593	-0.302815	0.10755668	0.30272603
303	4.318466	-0.32292598	1.8329309	-0.43058166	0.16975142	0.49601597
304	4.3399014	-1.8694116	1.9299008	-0.45529658	0.17983253	0.4411837
305	4.379835	-4.8372636	1.5878193	-0.31109554	0.25958723	0.41574603
306	-1.200753	8.868039	2.2261922	-0.077168755	0.53638625	0.0524745
307	4.5462737	-5.9082313	0.7170757	-0.31304827	2.7549477	0.40236294
308	8.447073	3.6241055	0.06078572	-0.040304646	0.29077336	
309	1.6371523	-0.04100753	1.7875121	-0.23598248	0.08090592	0.23885936
310	2.3719933	-0.5505816	1.8363698	-0.43182006	0.15461598	0.49879342
311	0.5464994	0.64545375	0.091175	-0.05081264	0.4404191	
312	-4.7051353	2.204058	0.9555063	-0.045342535	0.034338523	0.028345823
313	-5.374864	-6.7836704	1.1373366	-0.057408333	0.58064324	0.03871709
314	4.70563	-0.07800147	1.2285168	-0.21643628	0.12801172	0.2872681
315	5.436327	0.07935474	1.676202	-0.43612933	0.19243187	0.49982738
316	5.543037	-2.5146217	1.8815967	-0.2945938	0.12938774	0.25733668
317	3.3492362	6.068307	0.7029122	-0.07604764	0.85423255	0.064225316
318	5.047471	-5.5475407	0.52914107	-0.27561742	2.1779861	0.41441453
319	2.182581	-1.1790955	1.9601538	-0.07997692	0.027423678	0.037563145
320	-6.594528	7.1954865	1.7445022	-0.081083514	0.3101676	0.055646718
321	0.56183565	-0.067310214	0.34684885	-0.36281094	0.22272246	
322	1.233535	0.10658941	1.3027203	-0.3202653	0.13267198	0.33925825
323	1.9921615	1.5292376	2.4249003	-0.23932448	0.07024714	0.20535618
324	5.8867536	-1.0045327	2.3949132	-0.3647327	0.12823085	0.38540733
325	6.114269	-2.6064827	1.553304	-0.24456099	0.1258569	0.26114392
326	5.525981	5.143932	0.20362428	-0.109086476	0.77091265	
327	5.461024	-5.0047174	0.17806843	-0.143514	0.9068487	
328	2.2174554	2.3491356	1.5589361	-0.13761142	0.06329312	0.13450003
329	6.502491	-0.71027446	2.841164	-0.43893313	0.1497232	0.4162978
330	10.800396	0.74932045	3.6749737	-0.35573763	0.27225566	0.36144477
331	7.285433	6.2560883	0.8389402	-0.14908653	1.4623653	0.16463733
332	-4.4657183	-0.07156232	4.5459347	-0.20253499	0.050141655	0.10280943
333	8.3631525	-0.29934862	2.0246253	-0.42215914	0.24706082	0.5022027
